,j-10-10-r-1-10,j-10-10-r-2-10,j-10-10-r-5-10,j-10-10-r-10-1,j-10-10-r-10-2,j-10-10-r-10-5,j-10-10-r-10-10
0,0.030877642333507538,0.028116699308156967,0.024132560938596725,0.025310272350907326,0.024069201201200485,0.03505203127861023,0.0256028901785612
1,0.16469299793243408,0.11254190653562546,0.14348353445529938,0.13312362134456635,0.11778442561626434,0.12235745787620544,0.1246813535690307
2,0.13305704295635223,0.15349464118480682,0.1630575954914093,0.2203788459300995,0.16515807807445526,0.1171780601143837,0.1176252141594886
3,0.18881510198116302,0.15337185561656952,0.2234456092119217,0.17363961040973663,0.19506871700286865,0.1692270040512085,0.1437136232852935
4,0.2906118929386139,0.21048301458358765,0.27303460240364075,0.25439703464508057,0.31407323479652405,0.24709978699684143,0.2534354329109192
5,0.13785681128501892,0.1445499062538147,0.13438065350055695,0.15273332595825195,0.15058517456054688,0.15961477160453796,0.1496848911046981
6,0.0017472259933128953,0.001414218102581799,0.001479141297750175,0.0016874457942321897,0.0014966015005484223,0.001915504690259695,0.0014358556363731
7,0.10991298407316208,0.12645699083805084,0.09944471716880798,0.10666923224925995,0.12014596909284592,0.11418931186199188,0.090448647737503
8,0.0024508510250598192,0.0024370355531573296,0.002364646177738905,0.002026864094659686,0.002479457762092352,0.002664047759026289,0.0041740969754755
9,0.3631333112716675,0.3269678056240082,0.3340024948120117,0.4254896640777588,0.3552672564983368,0.2928870916366577,0.3604802787303924
10,0.27768754959106445,0.30796438455581665,0.24697984755039215,0.20069292187690735,0.2793538272380829,0.19764076173305511,0.1815631985664367
11,0.27397620677948,0.25161975622177124,0.2584654986858368,0.2531193494796753,0.22330014407634735,0.24152490496635437,0.2598939538002014
12,0.18323862552642822,0.21226106584072113,0.22615084052085876,0.2555060386657715,0.2621518075466156,0.1635129749774933,0.169535607099533
13,0.28549641370773315,0.31233346462249756,0.28087717294692993,0.30411723256111145,0.3054237961769104,0.2770678699016571,0.2728073596954345
14,0.14702993631362915,0.16857710480690002,0.15230044722557068,0.1475827544927597,0.13383832573890686,0.14398473501205444,0.1239015534520149
15,0.15060342848300934,0.1756608635187149,0.1555885672569275,0.16503307223320007,0.15499339997768402,0.17582008242607117,0.1232730075716972
16,0.25614017248153687,0.20034794509410858,0.18809159100055695,0.15152207016944885,0.19043700397014618,0.08621223270893097,0.1368210315704345
17,0.21267972886562347,0.12217818200588226,0.07229086756706238,0.10422080755233765,0.07789076119661331,0.10689790546894073,0.0679727271199226
18,0.09040748327970505,0.1157047376036644,0.13225284218788147,0.1301155537366867,0.09966904670000076,0.12448867410421371,0.0925117135047912
19,0.1305897980928421,0.11500062048435211,0.11463455855846405,0.11591847985982895,0.11111781001091003,0.10837826877832413,0.1254878789186477
20,0.36115026473999023,0.39654338359832764,0.33862489461898804,0.36214345693588257,0.41208821535110474,0.2811415493488312,0.3469058573246002
21,0.18197399377822876,0.16901208460330963,0.18424095213413239,0.13238516449928284,0.20694684982299805,0.24241121113300323,0.2670274674892425
22,0.03503393009305,0.019459031522274017,0.018014902248978615,0.0647771954536438,0.04823188856244087,0.03346868231892586,0.0218533463776111
23,0.11093607544898987,0.1076025664806366,0.07839888334274292,0.13672147691249847,0.08945354074239731,0.09519151598215103,0.0985458195209503
24,0.3197150230407715,0.2471931278705597,0.28774315118789673,0.24429796636104584,0.24784758687019348,0.25776129961013794,0.2143180519342422
25,0.18594489991664886,0.23156225681304932,0.18278303742408752,0.19985197484493256,0.1945413053035736,0.1811932474374771,0.1750350892543792
26,0.08485744893550873,0.10289029777050018,0.0810680091381073,0.12020331621170044,0.08906762301921844,0.08621029555797577,0.1012284308671951
27,0.23273973166942596,0.20669585466384888,0.13902616500854492,0.2255997657775879,0.15465475618839264,0.20888033509254456,0.2212721705436706
28,0.02937939576804638,0.025858771055936813,0.033175572752952576,0.03535846248269081,0.03009360283613205,0.03064412623643875,0.0256155394017696
29,0.05992758646607399,0.14368011057376862,0.06971514970064163,0.1891234815120697,0.13494014739990234,0.16352218389511108,0.076030284166336
30,0.14189283549785614,0.14241521060466766,0.10263703763484955,0.11617303639650345,0.09573850780725479,0.0926133394241333,0.1044247895479202
31,0.019568530842661858,0.015855111181735992,0.00971019547432661,0.024321479722857475,0.029788920655846596,0.013394955545663834,0.0176295917481184
32,0.0750727429986,0.05580056831240654,0.04804166033864021,0.047221794724464417,0.057321347296237946,0.0585063137114048,0.0495346263051033
33,0.29151904582977295,0.3001618981361389,0.2790716290473938,0.32863911986351013,0.2860000729560852,0.2790771722793579,0.275215595960617
34,0.19426381587982178,0.14383262395858765,0.1907242387533188,0.15708589553833008,0.23466505110263824,0.09306488186120987,0.2205619513988495
