,,thin,thick,nn2,genhalf,ex64,ev2li
j-10-10-r-5-10,49,0.016924938187003136,0.04168025776743889,0.06540194153785706,0.3570283353328705,0.6434653997421265,0.019716719165444374
j-10-10-r-5-10,50,0.1464196890592575,0.08313696086406708,0.2504792809486389,0.34944942593574524,0.7008088231086731,0.194504976272583
j-10-10-r-5-10,51,0.14026692509651184,0.1355975866317749,0.22920748591423035,0.3354516923427582,0.8081026077270508,0.13466212153434753
j-10-10-r-5-10,52,0.06128942221403122,0.17691779136657715,0.1216307207942009,0.383876234292984,0.7205211520195007,0.04239033907651901
j-10-10-r-5-10,53,0.005395000334829092,0.09324423223733902,0.24735596776008606,0.3422103524208069,0.7476232051849365,0.05334897339344025
j-10-10-r-5-10,54,0.08723968267440796,0.2399509698152542,0.39458563923835754,0.43208378553390503,0.7975035905838013,0.1644745171070099
j-10-10-r-5-10,55,0.06494364142417908,0.321815550327301,0.09443996846675873,0.363360196352005,0.837173581123352,0.03876279294490814
j-10-10-r-5-10,56,0.07202665507793427,0.04648679494857788,0.25448116660118103,0.406653493642807,0.6893860101699829,0.15267610549926758
j-10-10-r-5-10,57,0.146465465426445,0.21889546513557434,0.3986743092536926,0.37684446573257446,0.7808434367179871,0.16219887137413025
j-10-10-r-5-10,58,0.023923706263303757,0.25387272238731384,0.17834919691085815,0.36510634422302246,0.7042516469955444,0.0494045652449131
j-10-10-r-5-10,59,0.022290337830781937,0.23182031512260437,0.17387884855270386,0.3605690598487854,0.6733245849609375,0.1094757542014122
j-10-10-r-5-10,60,0.12032856792211533,0.1457732915878296,0.17459356784820557,0.2916208505630493,0.6267387866973877,0.09830811619758606
j-10-10-r-5-10,61,0.028531335294246674,0.07682213187217712,0.26552614569664,0.19269180297851562,0.7754504084587097,0.19893977046012878
j-10-10-r-5-10,62,0.07642017304897308,0.045072127133607864,0.41774246096611023,0.35388439893722534,0.8162603378295898,0.31934261322021484
j-10-10-r-5-10,63,0.09394505620002747,0.05084403231739998,0.3116818368434906,0.28295326232910156,0.8079341650009155,0.3550907075405121
j-10-10-r-5-10,64,0.14356450736522675,0.15751011669635773,0.13498836755752563,0.36967286467552185,0.7600333094596863,0.05859525874257088
j-10-10-r-5-10,65,0.02045772224664688,0.05971495062112808,0.22046434879302979,0.3924887776374817,0.7567723989486694,0.10750977694988251
j-10-10-r-5-10,66,0.13290013372898102,0.11127437651157379,0.2602812349796295,0.31342247128486633,0.6866340041160583,0.21013183891773224
j-10-10-r-5-10,67,0.07941106706857681,0.3003056049346924,0.17876525223255157,0.34088948369026184,0.7119631767272949,0.09365454316139221
j-10-10-r-5-10,68,0.1020200252532959,0.13543713092803955,0.4421147108078003,0.3666745722293854,0.7164319157600403,0.13042676448822021
j-10-10-r-5-10,69,0.18427522480487823,0.2236236035823822,0.3816954791545868,0.42423635721206665,0.6902529001235962,0.2901308834552765
j-10-10-r-5-10,70,0.0654580295085907,0.12302219867706299,0.15597687661647797,0.42136016488075256,0.7066805958747864,0.10304558277130127
j-10-10-r-5-10,71,0.10090348869562149,0.1770990937948227,0.5403816103935242,0.26307225227355957,0.6891851425170898,0.2573842406272888
j-10-10-r-5-10,72,0.05633311718702316,0.3132806718349457,0.5071466565132141,0.38423916697502136,0.7522424459457397,0.27674704790115356
