,test_inet256_thin,test_inet256_thick,test_inet256_nn2,test_inet256_genhalf,test_inet256_ex64,test_inet256_ev2li
0,0.11022719740867615,0.014695153571665287,0.4120211601257324,0.2991432249546051,0.691032350063324,0.1823374629020691
1,0.11701768636703491,0.13397568464279175,0.28305160999298096,0.3018975853919983,0.8286110162734985,0.18176081776618958
2,0.01181213092058897,0.12358425557613373,0.11209607124328613,0.3258890211582184,0.6870586276054382,0.058076273649930954
3,0.016073452308773994,0.16869233548641205,0.30177950859069824,0.42316940426826477,0.766745924949646,0.2109481692314148
4,0.09827312082052231,0.25259867310523987,0.14503197371959686,0.3534744083881378,0.7164888978004456,0.0943116843700409
5,0.04169163107872009,0.12811145186424255,0.061435405164957047,0.36588311195373535,0.6337813138961792,0.027584021911025047
6,0.1065533235669136,0.0016726035391911864,0.17401783168315887,0.31142961978912354,0.6469243764877319,0.17440356314182281
7,0.030405109748244286,0.11391039192676544,0.15809109807014465,0.3480573892593384,0.738494336605072,0.07624652236700058
8,0.07439465820789337,0.0005766957765445113,0.145718514919281,0.36419302225112915,0.6328867077827454,0.07040232419967651
9,0.05457413196563721,0.2512815594673157,0.10113756358623505,0.28335073590278625,0.6034435629844666,0.028758550062775612
10,0.06385137140750885,0.218340665102005,0.0886901393532753,0.3537138104438782,0.755488932132721,0.03823690488934517
11,0.08907081186771393,0.16848699748516083,0.18388578295707703,0.23598098754882812,0.8180252313613892,0.06237279251217842
12,0.06239780783653259,0.13752341270446777,0.07110331952571869,0.3131403625011444,0.6657970547676086,0.020301613956689835
13,0.06616932898759842,0.18195222318172455,0.22943557798862457,0.4261956810951233,0.8659480810165405,0.09435594081878662
14,0.08422323316335678,0.09085427969694138,0.06989355385303497,0.32636794447898865,0.856480062007904,0.0681820958852768
15,0.009250504896044731,0.13295617699623108,0.0426671989262104,0.3079442083835602,0.7129327058792114,0.022292722016572952
16,0.06720895320177078,0.1661931723356247,0.25830966234207153,0.32672905921936035,0.7228240966796875,0.0920729711651802
17,0.05418000370264053,0.09501519054174423,0.09231362491846085,0.3717992305755615,0.6885159611701965,0.04035719111561775
18,0.025250859558582306,0.14827585220336914,0.2834400534629822,0.4043726623058319,0.6959940195083618,0.13559721410274506
19,0.06941105425357819,0.11063897609710693,0.15580570697784424,0.3124183118343353,0.6661707758903503,0.13186922669410706
20,0.12210457026958466,0.2692689299583435,0.22023354470729828,0.36247023940086365,0.7123563289642334,0.13199007511138916
21,0.06559470295906067,0.1863851547241211,0.19381341338157654,0.31746405363082886,0.8226801156997681,0.1119280532002449
22,0.11423338949680328,0.036314789205789566,0.07735507935285568,0.35795098543167114,0.7317418456077576,0.03457987308502197
23,0.050505153834819794,0.05716171860694885,0.049088139086961746,0.37846019864082336,0.7527247667312622,0.02413112297654152
24,0.1827561855316162,0.3024611473083496,0.2831210792064667,0.3740643560886383,0.8937498331069946,0.21882136166095734
25,0.042325008660554886,0.18371731042861938,0.2522932291030884,0.35746777057647705,0.777009129524231,0.11895066499710083
26,0.08553548902273178,0.07199831306934357,0.06959536671638489,0.3134901225566864,0.6539429426193237,0.02672685869038105
27,0.12385313212871552,0.2036333829164505,0.3986765146255493,0.4064267575740814,0.7208662033081055,0.12296117842197418
28,0.12304144352674484,0.023762991651892662,0.42182332277297974,0.32761287689208984,0.7079862952232361,0.1900450587272644
29,0.09275415539741516,0.19035258889198303,0.4763633608818054,0.3392482399940491,0.8005800843238831,0.20464648306369781
30,0.09407837688922882,0.04259379953145981,0.13085579872131348,0.36778929829597473,0.7220945358276367,0.08071034401655197
31,0.1285354495048523,0.023210082203149796,0.6185007691383362,0.27654096484184265,0.7512134313583374,0.2782749533653259
32,0.016067273914813995,0.00459638237953186,0.07505737990140915,0.4165550470352173,0.6989356279373169,0.035779085010290146
33,0.05693192034959793,0.18721479177474976,0.19037596881389618,0.28950801491737366,0.7965651750564575,0.09873147308826447
34,0.011351574212312698,0.17891982197761536,0.21336375176906586,0.3683885931968689,0.758365273475647,0.10046649724245071
35,0.15511104464530945,0.14685113728046417,0.29339608550071716,0.503048300743103,0.9463547468185425,0.23315605521202087
36,0.16985289752483368,0.1953987330198288,0.4262610971927643,0.362754225730896,0.7155768871307373,0.20533062517642975
37,0.04078029468655586,0.16036561131477356,0.10658182948827744,0.37537527084350586,0.753670871257782,0.0450812503695488
38,0.06064818799495697,0.2911421060562134,0.09411069750785828,0.3135486841201782,0.7335169315338135,0.042343832552433014
39,0.059320613741874695,0.08688750863075256,0.13942137360572815,0.28794559836387634,0.6668808460235596,0.07996566593647003
40,0.0752795860171318,0.17430664598941803,0.32911497354507446,0.4167841672897339,0.7537933588027954,0.13781771063804626
41,0.02164260670542717,0.2529412508010864,0.1994837373495102,0.38474881649017334,0.7283506393432617,0.09893675893545151
42,0.10367558896541595,0.010025211609899998,0.2873324453830719,0.33960092067718506,0.6646090149879456,0.10219527781009674
43,0.07912446558475494,0.18559235334396362,0.4906802177429199,0.37645354866981506,0.6770942211151123,0.3595416843891144
44,0.2069254219532013,0.2632784843444824,0.2710868716239929,0.3383738398551941,0.721154510974884,0.06314249336719513
45,0.12943750619888306,0.060603879392147064,0.24365751445293427,0.511522650718689,0.8811743855476379,0.13025479018688202
46,0.06151309609413147,0.02148617058992386,0.19138354063034058,0.29911667108535767,0.7519187927246094,0.09594284743070602
47,0.07214285433292389,0.04641956835985184,0.13320404291152954,0.35707664489746094,0.7658414244651794,0.03955637663602829
48,0.012381426990032196,0.21524803340435028,0.09914856404066086,0.3324568271636963,0.686607837677002,0.04662717878818512
49,0.04787736013531685,0.07159195840358734,0.3672783076763153,0.3364616930484772,0.6204836368560791,0.06141210347414017
